,City,Country,Lat,Lng,Hotel Name
280,beterou,BJ,9.2,2.26,
281,esil,KZ,51.96,66.4,Egorkino Hotel
282,eydhafushi,MV,5.1,73.07,Soneva Fushi
283,knyaginino,RU,55.82,45.03,
284,grindavik,IS,63.84,-22.43,The Retreat at Blue Lagoon Iceland
285,ushtobe,KZ,45.25,77.98,
286,cairns,AU,-16.92,145.77,"Shangri-La Hotel, The Marina, Cairns"
287,castelo do piaui,BR,-20.6,-41.18,Pousada Lua & Sol
288,ondangwa,,-17.92,15.95,Protea Hotel by Marriott Ondangwa
289,cody,US,44.53,-109.06,Buffalo Bill's Irma Hotel & Restaurant
290,espanola,US,35.99,-106.08,Inn At the Delta
291,tias,ES,28.96,-13.64,IZARO HOTEL CLUB
292,bulungu,CD,-4.55,18.6,
293,evensk,RU,61.95,159.23,
294,mahibadhoo,MV,3.78,72.97,Liberty Guest House
295,krasnoselkup,RU,65.7,82.47,Krasnosel'kupnefteprodukt
296,hastings,GB,50.86,0.57,Royal Victoria Hotel
297,jalu,LY,29.03,21.55,Thuraya Tourist Hotel
298,constitucion,CL,-35.33,-72.42,Hotel Montt Plaza
299,champerico,GT,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
300,sitka,US,57.05,-135.33,Sitka Hotel & Restaurant
301,sheboygan,US,43.73,-87.93,Baymont by Wyndham Plymouth
302,nchelenge,ZM,-9.35,28.73,CM Guest house
303,liuzhou,CN,24.31,109.39,Radisson Blu Hotel Liuzhou
304,puerto lleras,ES,36.59,-6.23,Duques de Medinaceli
305,koutiala,ML,12.39,-5.46,Hotel Flasso 1
306,ust-maya,RU,60.42,134.53,
307,kangaatsiaq,GL,68.31,-53.46,
308,edirne,TR,41.68,26.56,Margi Hotel
309,hasaki,JP,35.73,140.83,Inn Inubosaki hotel of superb view
310,port-cartier,CA,50.03,-66.87,Le Q'Artier
311,huarmey,PE,-10.07,-78.15,Hotel Miramar
312,changde,CN,29.05,111.68,Sheraton Changde Wuling Hotel
313,derzhavinsk,KZ,51.1,66.32,Gostinitsa Galaktika
314,grootfontein,,-19.57,18.12,Greenhill Chalets
315,husavik,IS,66.04,-17.34,Fosshotel Húsavík
316,svetlogorsk,BY,52.63,29.73,Hotel Svetlogorsk JBIK
317,sorland,NO,67.67,12.69,Lofoten Værøy Brygge
318,matagami,CA,49.75,-77.63,Hôtel Matagami
319,alofi,NU,-19.06,-169.92,Taloa Heights
320,abu dhabi,IN,24.6,72.7,Sterling Mount Abu Resorts and Hotels
321,macau,MO,22.2,113.55,Kingdo Hotel
322,barcelos,PT,41.54,-8.62,Hotel Do Terço
323,nouadhibou,MR,20.93,-17.03,HOtel Tasiast
324,victoria,HK,22.29,114.16,Harbour Hotel
325,piombino,IT,42.93,10.52,La Sorgente Resort
326,along,IN,28.17,94.77,OYO 66194 Hotel Veggie Aman
327,padang,ID,-0.95,100.35,Jorisa Hotel
328,ixtapa,MX,20.7,-105.2,"The Westin Resort & Spa, Puerto Vallarta"
329,rudbar,AF,30.15,62.6,
330,aswan,EG,24.09,32.91,Hotel Sofitel Legend Old Cataract Aswan
331,manyana,BW,-23.4,21.72,
332,pizarro,CO,4.95,-77.37,Hotel vista mar
333,bernalillo,US,35.05,-106.67,"Hotel Andaluz Albuquerque, Curio Collection by Hilton"
334,paramonga,PE,-10.67,-77.83,HOSTAL PATIVILCA
335,port macquarie,CD,-7.03,29.76,
336,makurdi,NG,7.74,8.51,Hampton Mews Luxury Apartments & Hotel
337,riyadh,SA,24.69,46.72,Riyadh Marriott Hotel
338,mirnyy,RU,62.54,113.96,AZIMUT Отель Мирный
339,dingle,PH,11.0,122.67,
340,giyani,ZA,-23.3,30.72,Xisaka Guest House
341,georgetown,MY,5.41,100.34,"Eastern & Oriental Hotel, Penang"
342,samarai,PG,-10.62,150.67,Nuli Sapi
343,shitanjing,CN,39.23,106.34,
344,ostersund,SE,63.18,14.64,Scandic Östersund Syd
345,dryden,CA,49.78,-92.75,Holiday Inn Express Dryden
346,olinda,BR,-8.01,-34.86,Hotel Costeiro Olinda
347,canaries,ES,28.0,-15.5,Bodegas Volcán
348,cabedelo,BR,-6.98,-34.83,Hotel Almagre
349,gibara,CU,21.11,-76.13,Hotel E Plaza Colón
350,norman wells,US,35.22,-97.44,Best Western Plus Norman
351,batagay-alyta,RU,67.8,130.41,
352,daru,PG,-9.08,143.21,Daru hotel
353,mersin,TR,36.86,34.65,Grand Altundağ Otel
354,salekhard,RU,66.53,66.6,Гостиница Юрибей
355,nanortalik,GL,60.14,-45.24,Hotel Kap Farvel
356,mys shmidta,RU,62.06,48.62,
357,shingu,JP,33.73,135.98,Gran Hotel
358,tampakan,PH,6.44,124.93,
359,bowen,AU,-20.02,148.23,Horseshoe Bay Resort
360,papar,MY,5.73,115.93,Star Ocean Estate
